"ImageNumber","plate","well","gene","puro","Image_FileNames_Filename_OrigDNA","Image_PathNames_Path_OrigDNA"
1,1,1,"Gabra3",1,"AS_09125_050116000001_A01f00d0.png","images"
2,1,1,"Gabra3",1,"AS_09125_050116000001_A01f01d0.png","images"
3,1,1,"Gabra3",1,"AS_09125_050116000001_A01f02d0.png","images"
4,1,1,"Gabra3",1,"AS_09125_050116000001_A01f03d0.png","images"
5,1,2,"MAPK11",1,"AS_09125_050116000001_A02f00d0.png","images"
6,1,2,"MAPK11",1,"AS_09125_050116000001_A02f01d0.png","images"
7,1,2,"MAPK11",1,"AS_09125_050116000001_A02f02d0.png","images"
8,1,2,"MAPK11",1,"AS_09125_050116000001_A02f03d0.png","images"
9,1,3,"Gabra3",1,"AS_09125_050116000001_A03f00d0.png","images"
10,1,3,"Gabra3",1,"AS_09125_050116000001_A03f01d0.png","images"
11,1,3,"Gabra3",1,"AS_09125_050116000001_A03f02d0.png","images"
12,1,3,"Gabra3",1,"AS_09125_050116000001_A03f03d0.png","images"
13,1,4,"MAPK11",1,"AS_09125_050116000001_A04f00d0.png","images"
14,1,4,"MAPK11",1,"AS_09125_050116000001_A04f01d0.png","images"
15,1,4,"MAPK11",1,"AS_09125_050116000001_A04f02d0.png","images"
16,1,4,"MAPK11",1,"AS_09125_050116000001_A04f03d0.png","images"
17,1,5,"Gabra3",1,"AS_09125_050116000001_A05f00d0.png","images"
18,1,5,"Gabra3",1,"AS_09125_050116000001_A05f01d0.png","images"
19,1,5,"Gabra3",1,"AS_09125_050116000001_A05f02d0.png","images"
20,1,5,"Gabra3",1,"AS_09125_050116000001_A05f03d0.png","images"
21,1,6,"MAPK11",1,"AS_09125_050116000001_A06f00d0.png","images"
22,1,6,"MAPK11",1,"AS_09125_050116000001_A06f01d0.png","images"
23,1,6,"MAPK11",1,"AS_09125_050116000001_A06f02d0.png","images"
24,1,6,"MAPK11",1,"AS_09125_050116000001_A06f03d0.png","images"
25,1,7,"Gabra3",1,"AS_09125_050116000001_A07f00d0.png","images"
